carburant ,annee,mois,id,poid
diesel,2015,1,diesel.2015.1,1402
diesel,2015,2,diesel.2015.2,1588
diesel,2015,3,diesel.2015.3,2065
diesel,2015,4,diesel.2015.4,1824
diesel,2015,5,diesel.2015.5,1925
diesel,2015,6,diesel.2015.6,1760
diesel,2015,7,diesel.2015.7,1466
diesel,2015,8,diesel.2015.8,1377
diesel,2015,9,diesel.2015.9,1741
diesel,2015,10,diesel.2015.10,2068
diesel,2015,11,diesel.2015.11,1970
diesel,2015,12,diesel.2015.12,1922
diesel,2017,1,diesel.2017.1,132
diesel,2017,2,diesel.2017.2,117
diesel,2017,3,diesel.2017.3,163
diesel,2017,4,diesel.2017.4,245
diesel,2017,5,diesel.2017.5,268
diesel,2017,6,diesel.2017.6,253
diesel,2017,7,diesel.2017.7,814
diesel,2017,8,diesel.2017.8,2248
diesel,2017,9,diesel.2017.9,3824
diesel,2017,10,diesel.2017.10,3040
diesel,2017,11,diesel.2017.11,4620
diesel,2017,12,diesel.2017.12,4166
diesel,2018,1,diesel.2018.1,52
diesel,2018,2,diesel.2018.2,118
diesel,2018,3,diesel.2018.3,480
diesel,2018,4,diesel.2018.4,2231
diesel,2018,5,diesel.2018.5,3375
diesel,2018,6,diesel.2018.6,2280
diesel,2018,7,diesel.2018.7,1910
diesel,2018,8,diesel.2018.8,3168
diesel,2018,9,diesel.2018.9,1900
diesel,2018,10,diesel.2018.10,2352
diesel,2018,11,diesel.2018.11,1817
diesel,2018,12,diesel.2018.12,1609
diesel,2019,1,diesel.2019.1,5677
diesel,2019,2,diesel.2019.2,5474
diesel,2019,3,diesel.2019.3,6253
diesel,2019,4,diesel.2019.4,1758
electrique,2015,1,electrique.2015.1,3
electrique,2015,2,electrique.2015.2,3
electrique,2015,3,electrique.2015.3,4
electrique,2015,4,electrique.2015.4,2
electrique,2015,5,electrique.2015.5,2
electrique,2015,6,electrique.2015.6,1
electrique,2015,7,electrique.2015.7,2
electrique,2015,8,electrique.2015.8,2
electrique,2015,9,electrique.2015.9,1
electrique,2015,10,electrique.2015.10,3
electrique,2015,11,electrique.2015.11,3
electrique,2015,12,electrique.2015.12,7
electrique,2017,1,electrique.2017.1,0
electrique,2017,2,electrique.2017.2,0
electrique,2017,3,electrique.2017.3,0
electrique,2017,4,electrique.2017.4,3
electrique,2017,5,electrique.2017.5,3
electrique,2017,7,electrique.2017.7,1
electrique,2017,8,electrique.2017.8,7
electrique,2017,9,electrique.2017.9,15
electrique,2017,10,electrique.2017.10,12
electrique,2017,11,electrique.2017.11,18
electrique,2017,12,electrique.2017.12,14
electrique,2018,1,electrique.2018.1,0
electrique,2018,2,electrique.2018.2,1
electrique,2018,3,electrique.2018.3,1
electrique,2018,4,electrique.2018.4,5
electrique,2018,5,electrique.2018.5,4
electrique,2018,6,electrique.2018.6,6
electrique,2018,7,electrique.2018.7,2
electrique,2018,8,electrique.2018.8,5
electrique,2018,9,electrique.2018.9,3
electrique,2018,10,electrique.2018.10,2
electrique,2018,11,electrique.2018.11,3
electrique,2018,12,electrique.2018.12,9
electrique,2019,1,electrique.2019.1,14
electrique,2019,2,electrique.2019.2,18
electrique,2019,3,electrique.2019.3,22
electrique,2019,4,electrique.2019.4,7
