id,pays,prix,carburant,km,statut_vendeur_particulier,departement_2,marque_2,annee,mois,poid,id
10293535,FR,5450,Essence,90000,0,35,peugeot,2017,5,683,2017.Essence
10348198,FR,5990,Essence,92000,0,63,peugeot,2017,5,683,2017.Essence
10435170,FR,5480,Essence,71000,0,81,peugeot,2017,5,683,2017.Essence
10435788,FR,5990,Diesel,73000,0,83,peugeot,2017,5,1786,2017.Diesel
10316284,FR,10890,Essence,3594,0,85,peugeot,2017,5,683,2017.Essence
10347775,FR,14590,Diesel,32490,0,26,peugeot,2017,5,1786,2017.Diesel
7367150,FR,18490,Diesel,4514,0,76,renault,2016,10,1102,2016.Diesel
7384139,FR,13000,Diesel,37500,1,85,renault,2016,10,1102,2016.Diesel
7457366,FR,12980,Diesel,124000,0,67,volkswagen,2016,10,1102,2016.Diesel
7471407,FR,14390,Essence,30340,0,59,opel,2016,10,225,2016.Essence
7389035,FR,8490,Diesel,65500,0,27,opel,2016,10,1102,2016.Diesel
7660820,FR,109262,Essence,7500,0,44,bmw,2016,11,225,2016.Essence
7781100,FR,29990,Diesel,81000,0,59,audi,2016,11,1102,2016.Diesel
7672288,FR,20390,Diesel,134900,0,6,audi,2016,11,1102,2016.Diesel
7707589,FR,7995,Essence,16314,0,3,volkswagen,2016,11,225,2016.Essence
7668858,FR,22900,Diesel,73900,0,68,bmw,2016,11,1102,2016.Diesel
7739830,FR,17900,Diesel,145000,0,6,bmw,2016,11,1102,2016.Diesel
7704331,FR,3250,Diesel,140000,1,56,peugeot,2016,11,1102,2016.Diesel
7679370,FR,7990,Diesel,103000,0,11,peugeot,2016,11,1102,2016.Diesel
10049171,FR,4990,Diesel,127233,0,54,peugeot,2017,4,1786,2017.Diesel
10044525,FR,7990,Essence,49900,0,44,peugeot,2017,4,683,2017.Essence
9953340,FR,17940,Diesel,18250,0,82,peugeot,2017,4,1786,2017.Diesel
9987988,FR,7000,Essence,76000,1,62,peugeot,2017,4,683,2017.Essence
9997327,FR,14300,Diesel,1097,0,62,peugeot,2017,4,1786,2017.Diesel
10653158,FR,40990,Diesel,66000,0,35,audi,2017,6,1786,2017.Diesel
10671890,FR,42900,Diesel,5155,0,49,bmw,2017,6,1786,2017.Diesel
10769573,FR,18990,Diesel,64800,0,62,mercedes-benz,2017,6,1786,2017.Diesel
10688403,FR,4990,Essence,92000,0,10,peugeot,2017,6,683,2017.Essence
14088669,FR,13990,Diesel,110,0,91,renault,2017,10,1786,2017.Diesel
8603895,FR,15990,Diesel,85579,0,44,citroen,2017,1,1786,2017.Diesel
8641665,FR,16950,Diesel,7500,0,57,citroen,2017,1,1786,2017.Diesel
8658765,FR,13990,Diesel,61994,0,69,citroen,2017,2,1786,2017.Diesel
8557587,FR,86900,Diesel,5500,0,93,audi,2017,1,1786,2017.Diesel
10247811,FR,6290,Essence,107930,0,44,peugeot,2017,5,683,2017.Essence
10519536,FR,3989,Essence,125000,0,78,peugeot,2017,5,683,2017.Essence
10577053,FR,5000,Essence,188000,1,88,peugeot,2017,5,683,2017.Essence
10478278,FR,8990,Diesel,87000,1,44,peugeot,2017,5,1786,2017.Diesel
7502237,FR,34990,Diesel,39336,0,44,audi,2016,10,1102,2016.Diesel
7423710,FR,12000,Diesel,82500,1,68,citroen,2016,10,1102,2016.Diesel
7382917,FR,62000,Diesel,23000,1,67,audi,2016,10,1102,2016.Diesel
7488499,FR,65000,Diesel,1000,0,31,bmw,2016,10,1102,2016.Diesel
7367792,FR,45700,Essence,7500,0,68,bmw,2016,10,225,2016.Essence
7502205,FR,35490,Diesel,6990,0,77,mercedes-benz,2016,10,1102,2016.Diesel
7407661,FR,9900,Essence,6045,0,73,volkswagen,2016,10,225,2016.Essence
7455745,FR,21990,Hybride diesel Ǹlectrique,31320,0,78,peugeot,2016,10,1,2016.Hybride diesel Ǹlectrique
7492953,FR,10000,Diesel,113000,1,89,peugeot,2016,10,1102,2016.Diesel
7394553,FR,26980,Diesel,2748,0,33,peugeot,2016,10,1102,2016.Diesel
8883298,FR,6900,Diesel,144000,0,88,citroen,2017,2,1786,2017.Diesel
8913459,FR,5000,Diesel,154000,1,59,alfa romeo,2017,2,1786,2017.Diesel
18206724,FR,23450,Essence,57500,1,9,mercedes,2018,2,155,2018.Essence
18413878,FR,12800,Essence,141000,0,54,mercedes,2018,2,155,2018.Essence
18259420,FR,13500,Essence,14500,1,13,suzuki,2018,2,155,2018.Essence
10355158,FR,15990,Essence,148010,0,88,jaguar,2017,5,683,2017.Essence
10303175,FR,9395,Essence,13483,0,49,peugeot,2017,5,683,2017.Essence
10302523,FR,6990,Diesel,145400,0,57,peugeot,2017,5,1786,2017.Diesel
10350989,FR,9690,Essence,47610,0,74,peugeot,2017,5,683,2017.Essence
7369044,FR,42940,Diesel,15,0,22,renault,2016,10,1102,2016.Diesel
7417409,FR,14990,Diesel,22214,0,88,volkswagen,2016,10,1102,2016.Diesel
7807962,FR,13200,Essence,503,0,26,peugeot,2016,11,225,2016.Essence
10038961,FR,3450,Diesel,122000,0,33,peugeot,2017,4,1786,2017.Diesel
10066898,FR,4700,Diesel,147000,1,60,peugeot,2017,4,1786,2017.Diesel
9917158,FR,11990,Essence,28900,0,25,peugeot,2017,4,683,2017.Essence
11130037,FR,9990,Diesel,72500,0,5,fiat,2017,6,1786,2017.Diesel
10734120,FR,6500,Essence,16858,0,92,peugeot,2017,6,683,2017.Essence
10637160,FR,3890,Essence,111000,0,63,peugeot,2017,6,683,2017.Essence
8623467,FR,11990,Diesel,101864,0,59,citroen,2017,1,1786,2017.Diesel
8664686,FR,7990,Diesel,135000,0,33,citroen,2017,2,1786,2017.Diesel
8561982,FR,22990,Diesel,64000,0,59,audi,2017,1,1786,2017.Diesel
8568295,FR,13990,Essence,70000,0,59,audi,2017,1,683,2017.Essence
8528760,FR,3990,Essence,136200,0,70,peugeot,2017,1,683,2017.Essence
8655046,FR,6490,Diesel,140941,0,32,peugeot,2017,2,1786,2017.Diesel
10171375,FR,5790,Diesel,95000,0,67,peugeot,2017,5,1786,2017.Diesel
10107151,FR,14470,Diesel,9871,0,34,peugeot,2017,4,1786,2017.Diesel
10457962,FR,13570,Essence,5,0,34,peugeot,2017,5,683,2017.Essence
10529895,FR,8190,Diesel,78495,0,91,peugeot,2017,5,1786,2017.Diesel
10545604,FR,14990,Diesel,25000,0,33,peugeot,2017,5,1786,2017.Diesel
7434894,FR,22850,Diesel,62300,0,94,audi,2016,10,1102,2016.Diesel
7477772,FR,33600,Diesel,10,0,73,audi,2016,10,1102,2016.Diesel
7448424,FR,7900,Diesel,116000,0,32,peugeot,2016,10,1102,2016.Diesel
15982373,FR,3999,Diesel,170000,0,93,peugeot,2017,11,1786,2017.Diesel
9036200,FR,13990,Essence,2148,0,74,citroen,2017,2,683,2017.Essence
9038157,FR,2900,Essence,117053,0,76,citroen,2017,2,683,2017.Essence
9027116,FR,20900,Diesel,17494,0,61,citroen,2017,2,1786,2017.Diesel
9037629,FR,10890,Diesel,114300,0,76,citroen,2017,2,1786,2017.Diesel
